Name,Unit Price,
Dress - replace zipper,28.00,
Dress - shorten bottom for one layer,35.00,
Dress - shorten stripe easy way,10.00,
Dress - shorten stripe with linning or pipping,25.00,
Dress - sides in with lining or piping,45.00,
Dress - sides in without linning or pipping,20.00,
