Name,Unit Price,
Jkt - blades in,65.00,
Jkt - button,5.00,
Jkt - center seam in,20.00,
Jkt - lower collar,20.00,
Jkt - mending,20.00,
Jkt - patch elbow,40.00,
Jkt - replace linning,150.00,
Jkt - replace pocket,35.00,
Jkt - replace zipper,35.00,
Jkt - shorten bottoms,45.00,
Jkt - shoulder: lower,95.00,
Jkt - shoulder: square,45.00,
Jkt - sides in,35.00,
Jkt - sleeves: lengthen,35.00,
Jkt - sleeves: narrow,45.00,
Jkt - sleeves: shorten,35.00,
