Name,Unit Price,
Sht - back darts,10.00,
Sht - button,3.00,
Sht - mending,18.00,
Sht - narrow shoulder,35.00,
Sht - shorten bottom,18.00,
Sht - sides in,35.00,
Sht - sides in with surging,18.00,
Sht - sleeves: lengthen,25.00,
Sht - sleeves: narrow,25.00,
Sht - sleeves: shorten,25.00,
Sht - sleeves: simple shorten,15.00,
