Name,Unit Price,
Evening dress- sides in,65.00,
Patch - attach 1,5.00,
Patch - attach 2,10.00,
Patch - attach on eblew,40.00,
Skirt - shorten bottom with lining or pleat,28.00,
Skirt - shorten bottom without linining,20.00,
Vest - center seam in,25.00,
Vest - shorten bottom,35.00,
Vest - sides in,35.00,
