Name,Unit Price,
Dry clean -  man Jacket  ,15.00,
Dry clean - blouse,8.00,
Dry clean - coat,20.00,
Dry clean - dress,16.00,
Dry clean - lady jacket,10.00,
Dry clean - pant,8.00,
Dry clean - pant with lining,10.00,
Dry clean - shirt,5.00,
Dry clean - suit,23.00,
Dry clean - sweater,8.00,
Dry clean - tie,7.00,
Dry clean - tuxedo shirt (silk),8.00,
Dry clean - vest,7.00,
Dry clean - duvet king,45.00,
